type,price,datetime,prev_candle_idx,curr_candle_idx,prev_high,curr_high,prev_close,curr_close,retracement_pct,num_hits,num_reversals,strength_score,strength
resistance,24795.3,2025-09-26 13:00:00,1757,1758,24795.3,24788.0,24774.4,24758.75,0.14740696825607788,17,6,70.29,Very Strong
resistance,24680.05,2025-09-30 13:15:00,1810,1811,24673.55,24680.05,24664.95,24644.25,0.14505643221954279,8,3,70.29,Very Strong
resistance,25256.55,2025-10-13 15:00:00,2025,2026,25256.55,25251.4,25249.2,25220.45,0.14293321930350164,8,4,70.29,Very Strong
resistance,25114.1,2025-09-24 10:30:00,1695,1696,25114.1,25104.35,25097.8,25078.15,0.14314667855904487,36,6,70.29,Very Strong
resistance,24833.8,2025-10-03 10:00:00,1849,1850,24833.0,24833.8,24828.55,24798.35,0.14274899532089624,16,5,70.29,Very Strong
resistance,19540.9,2023-10-09 15:00:00,439,440,19537.3,19540.9,19533.05,19512.7,0.14431269798218468,18,4,70.29,Very Strong
resistance,22623.85,2024-04-08 09:45:00,834,835,22623.85,22615.4,22607.0,22591.65,0.1423276763238666,9,3,70.28,Very Strong
resistance,22563.75,2024-04-12 14:30:00,931,932,22563.75,22562.5,22548.15,22532.05,0.14049083153288228,8,4,70.28,Very Strong
resistance,24811.8,2025-10-01 12:15:00,1832,1833,24811.8,24808.35,24803.35,24777.2,0.13944977792823796,17,4,70.28,Very Strong
resistance,25010.4,2025-09-25 13:15:00,1732,1733,25010.4,24999.15,24989.7,24976.0,0.13754278220260951,12,7,70.28,Very Strong
resistance,23307.0,2025-04-02 13:30:00,1499,1500,23300.45,23307.0,23298.25,23274.6,0.13901403011971278,24,5,70.28,Very Strong
resistance,23613.5,2025-03-27 11:15:00,1412,1413,23605.65,23613.5,23602.9,23580.15,0.14123276939038493,28,5,70.28,Very Strong
resistance,19736.25,2023-10-13 09:30:00,521,522,19734.15,19736.25,19724.7,19708.4,0.1411108999936591,17,3,70.28,Very Strong
resistance,22467.5,2024-04-01 14:30:00,723,724,22467.5,22466.05,22461.2,22436.25,0.1390897963725381,40,4,70.28,Very Strong
resistance,19591.3,2023-10-19 10:30:00,629,630,19591.3,19589.0,19584.95,19563.75,0.14062364416858134,8,5,70.28,Very Strong
resistance,22434.2,2024-03-28 12:45:00,690,691,22423.1,22434.2,22414.25,22403.8,0.135507394959488,58,3,70.27,Very Strong
resistance,25037.55,2024-10-10 14:30:00,1243,1244,25037.55,25025.3,25023.3,25003.15,0.1373936347605809,41,3,70.27,Very Strong
resistance,26094.75,2025-10-23 09:45:00,2185,2186,26094.75,26084.45,26074.3,26058.9,0.1373839565429772,11,7,70.27,Very Strong
resistance,19704.0,2023-10-13 10:45:00,526,527,19704.0,19686.65,19685.25,19677.2,0.1360129922858266,19,4,70.27,Very Strong
