type,price,datetime,prev_candle_idx,curr_candle_idx,prev_low,curr_low,prev_close,curr_close,retracement_pct,num_hits,num_reversals,strength_score,strength
support,24594.3,2025-09-30 10:45:00,1800,1801,24594.3,24607.85,24620.95,24637.25,0.1746339599012809,8,4,70.35,Very Strong
support,24948.2,2024-10-11 09:45:00,1250,1251,24948.2,24971.9,24975.8,24991.95,0.17536335286714072,45,7,70.35,Very Strong
support,25233.15,2024-10-03 14:00:00,1111,1112,25233.15,25235.8,25264.2,25276.55,0.17199596562457647,20,6,70.34,Very Strong
support,17580.8,2023-04-06 11:30:00,87,88,17580.8,17599.1,17607.15,17610.25,0.16751228613032812,43,8,70.34,Very Strong
support,22613.15,2024-04-09 14:15:00,878,879,22616.8,22613.15,22617.5,22651.2,0.16826492549688685,11,6,70.34,Very Strong
support,22545.65,2024-04-12 13:15:00,926,927,22545.65,22562.65,22568.05,22583.8,0.1692122427164345,9,5,70.34,Very Strong
support,25743.75,2024-10-01 10:45:00,1072,1073,25743.75,25744.0,25759.35,25786.9,0.16761349842195272,15,9,70.34,Very Strong
support,25062.3,2024-10-09 13:30:00,1213,1214,25062.3,25073.35,25074.85,25104.1,0.16678437334162977,70,3,70.33,Very Strong
support,25050.55,2025-09-24 09:45:00,1692,1693,25050.55,25051.45,25060.5,25091.95,0.16526583248671767,44,7,70.33,Very Strong
support,23585.55,2025-03-26 12:30:00,1391,1392,23585.55,23597.6,23599.3,23624.2,0.163871523029997,27,4,70.33,Very Strong
support,22493.3,2024-04-04 14:00:00,799,800,22493.3,22515.85,22516.85,22530.3,0.16449342693157518,29,5,70.33,Very Strong
support,17580.0,2023-04-19 14:15:00,280,281,17580.0,17588.45,17595.55,17608.95,0.16467576791809288,24,5,70.33,Very Strong
support,19743.6,2023-10-13 14:00:00,539,540,19743.6,19751.5,19749.95,19776.6,0.167142770315444,26,5,70.33,Very Strong
support,19782.05,2023-10-11 13:00:00,483,484,19782.05,19786.25,19786.4,19814.85,0.16580688048002748,30,6,70.33,Very Strong
support,24673.25,2025-09-29 13:45:00,1786,1787,24673.25,24683.65,24689.5,24713.05,0.1613082994741239,10,3,70.32,Very Strong
support,23173.4,2025-04-01 12:00:00,1467,1468,23183.6,23173.4,23197.25,23209.9,0.1575081774793513,13,5,70.32,Very Strong
support,22634.15,2024-04-08 13:30:00,849,850,22634.15,22638.15,22639.8,22670.3,0.15971441383925536,22,5,70.32,Very Strong
support,25031.4,2024-10-10 10:45:00,1228,1229,25043.2,25031.4,25058.4,25072.0,0.16219628147046727,81,3,70.32,Very Strong
support,19544.55,2023-10-09 10:45:00,422,423,19544.55,19550.9,19556.95,19575.5,0.15835616578535056,38,3,70.32,Very Strong
support,22459.1,2024-04-03 14:00:00,773,774,22472.45,22459.1,22474.15,22494.95,0.15962349337240667,19,4,70.32,Very Strong
support,24634.8,2025-09-26 15:15:00,1766,1767,24634.8,24643.6,24644.5,24673.1,0.15547112215239933,31,6,70.31,Very Strong
support,22156.7,2024-04-16 10:15:00,966,967,22188.0,22156.7,22191.4,22190.8,0.15390378531098287,10,6,70.31,Very Strong
support,19713.05,2023-10-13 13:00:00,535,536,19713.05,19720.15,19719.9,19743.95,0.1567489556410675,16,10,70.31,Very Strong
support,25257.75,2025-10-10 10:45:00,1982,1983,25257.75,25258.35,25258.7,25297.0,0.1553978481852105,16,5,70.31,Very Strong
support,17654.15,2023-04-17 13:30:00,225,226,17654.15,17658.6,17667.9,17680.9,0.15152244656355587,23,5,70.3,Very Strong
support,23136.4,2025-04-01 13:30:00,1473,1474,23148.65,23136.4,23154.55,23171.1,0.1499801179094288,8,6,70.3,Very Strong
support,22875.15,2025-04-04 14:00:00,1553,1554,22875.15,22881.2,22893.6,22909.6,0.15060010535448767,13,4,70.3,Very Strong
support,25079.2,2025-10-08 13:30:00,1941,1942,25079.2,25087.7,25092.65,25117.3,0.15191872149031288,16,5,70.3,Very Strong
support,23247.5,2025-04-02 12:00:00,1493,1494,23255.0,23247.5,23255.25,23281.45,0.1460372083019711,23,4,70.29,Very Strong
support,22554.85,2024-04-12 12:45:00,924,925,22554.85,22563.2,22580.05,22588.0,0.1469750408448802,8,5,70.29,Very Strong
support,19681.25,2023-10-13 12:15:00,532,533,19681.25,19682.9,19683.2,19709.7,0.14455382661162644,15,5,70.29,Very Strong
support,23248.9,2025-04-03 11:30:00,1517,1518,23248.9,23265.3,23272.1,23283.05,0.14688867000158207,14,3,70.29,Very Strong
support,25027.95,2025-09-24 11:15:00,1698,1699,25027.95,25051.6,25053.75,25064.05,0.1442387410874584,38,5,70.29,Very Strong
support,19534.95,2023-10-05 14:30:00,385,386,19540.25,19534.95,19546.95,19563.0,0.14358879853800122,40,5,70.29,Very Strong
support,25279.55,2025-10-10 13:30:00,1993,1994,25279.55,25303.15,25303.9,25316.25,0.1451766348688989,19,3,70.29,Very Strong
support,17655.3,2023-04-11 12:30:00,143,144,17655.3,17664.65,17665.25,17679.6,0.13763572411683334,36,5,70.28,Very Strong
support,24606.2,2025-09-29 12:45:00,1782,1783,24610.35,24606.2,24613.5,24640.05,0.13756695466995533,18,6,70.28,Very Strong
support,17610.75,2023-04-18 13:45:00,252,253,17617.7,17610.75,17619.1,17635.25,0.1391195718524197,44,6,70.28,Very Strong
support,23254.75,2025-04-02 13:45:00,1500,1501,23273.85,23254.75,23274.6,23287.65,0.14147647254862536,22,5,70.28,Very Strong
support,17597.0,2023-04-20 11:15:00,294,295,17597.0,17611.35,17610.95,17621.5,0.1392282775473092,28,5,70.28,Very Strong
support,17590.35,2023-04-20 10:45:00,292,293,17590.35,17592.1,17593.3,17614.6,0.13785967874431151,28,6,70.28,Very Strong
support,24896.25,2024-10-08 12:15:00,1182,1183,24896.25,24915.8,24930.3,24930.75,0.13857508660942913,13,4,70.28,Very Strong
support,22619.4,2024-04-09 14:45:00,880,881,22619.4,22633.35,22633.65,22651.4,0.14147148023378162,11,6,70.28,Very Strong
support,24820.3,2025-10-01 15:15:00,1844,1845,24820.3,24821.2,24822.5,24853.4,0.13335858148371368,14,6,70.27,Very Strong
support,23580.15,2025-03-27 11:30:00,1413,1414,23580.15,23580.15,23580.15,23611.5,0.13295080820095947,23,5,70.27,Very Strong
support,25824.95,2024-09-30 13:30:00,1057,1058,25841.3,25824.95,25842.05,25859.3,0.1330109061198513,45,3,70.27,Very Strong
support,23572.2,2025-03-26 12:00:00,1389,1390,23589.05,23572.2,23589.15,23603.75,0.13384410449597098,27,4,70.27,Very Strong
support,19635.15,2023-10-19 12:00:00,635,636,19635.15,19637.45,19637.25,19661.3,0.13317952753097287,12,5,70.27,Very Strong
support,22427.85,2024-04-01 13:15:00,718,719,22427.85,22445.65,22445.75,22457.95,0.13420813854204566,47,5,70.27,Very Strong
support,17344.15,2023-03-31 14:45:00,22,23,17344.15,17351.65,17357.75,17366.6,0.12943845619414668,19,5,70.26,Very Strong
support,24629.65,2025-09-26 14:30:00,1763,1764,24629.65,24635.8,24645.75,24661.1,0.12769162371368284,33,7,70.26,Very Strong
support,23501.15,2025-03-26 13:45:00,1396,1397,23514.8,23501.15,23516.85,23532.0,0.1312701718851994,15,6,70.26,Very Strong
support,19375.7,2023-10-04 09:45:00,340,341,19375.7,19392.5,19394.2,19400.65,0.12876954122948192,9,5,70.26,Very Strong
support,25173.0,2025-10-13 10:15:00,2006,2007,25173.0,25175.7,25199.25,25206.3,0.13228459063281797,21,5,70.26,Very Strong
